bc,co,date,location,no2,o3,pm10,pm25,so2
"","",2022-04-29,San Ramon,0.0115,0.022,"","",""
"",0.1812,2022-04-29,Riverside - Rubidoux,0.0087,0.0369,42.7778,14.7991,0.001
"","",2022-04-29,Santa Cruz AMS,"",0.0328,"",6.2937,""
"","",2022-04-29,Bee Ridge,"","","",8.5,""
"","",2022-04-29,Gainesville,"","",30.1165,14.1757,""
"","",2022-04-29,Gary-IITRI,0.0047,0.0374,17.3689,"",0.001
"","",2022-04-29,New Roads,"",0.0375,"","",""
"","",2022-04-29,Padonia,"",0.0336,"",6.6032,""
"","",2022-04-29,Fall River,"",0.0426,"",3.8133,0.0011
"","",2022-04-29,WAVELAND,"",0.0264,"",12.1636,""
"",0.1373,2022-04-29,Del Norte,0.0045,0.0461,36.0194,7.8408,0.0
"","",2022-04-29,W Greenwich,"",0.0442,"",1.84,""
"","",2022-04-29,Badlands,"",0.0238,24.6667,10.2031,""
"","",2022-04-29,ASHBURN,0.0042,0.0422,"","",""
"","",2022-04-29,North Bend-North Ben,"",0.027,"",1.6902,""
0.3686,"",2022-04-29,Portland Cully Helen,"","","",4.0688,""
"","",2022-04-29,APOLLO BEACH,"","","",10.5577,0.001
"","",2022-04-29,Sheridan PD,"","",11.2857,-1.4286,""
"",0.364,2022-04-29,Bethel Island,0.0023,0.042,"","",0.001
"","",2022-04-29,Shasta Lake City,"",0.0442,"","",""
"","",2022-04-29,Ellyson Industrial P,"",0.0385,"",11.584,5.0E-4
"","",2022-04-29,Rexburg PM25,"","","",6.2951,""
"","",2022-04-29,Larwill,"","","",7.6078,""
"","",2022-04-29,Substation,0.0,0.0573,52.264,"",4.0E-4
"","",2022-04-29,ROLAND,0.0052,0.0284,"",8.4808,""
"","",2022-04-29,Jackson,"",0.0501,"",14.5577,""
"",0.1,2022-04-29,EAST VINTON ELEMENTA,0.003,0.0401,"",5.2049,0.0011
"","",2022-04-29,Bakersfield-Westwind,0.0233,"","","",""
"","",2022-04-29,Riverton Mobile,0.0013,0.0534,10.8923,5.0615,0.0
"","",2022-04-29,Buick NE,"","","","",0.0015
"","",2022-04-29,RIVER_Terrace,0.0083,0.0397,"",3.6286,""
"","",2022-04-29,Paradise - Airport,"",0.0443,"","",""
"",0.2439,2022-04-29,Upland,0.01,0.0377,36.1028,15.4738,""
"","",2022-04-29,Lassen Volcanic NP,"",0.0502,"","",""
"",0.1418,2022-04-29,Modesto - 14th Stree,"",0.0368,25.3412,12.2588,""
"","",2022-04-29,Osceola Co. Fire Sta,"",0.0454,"","",""
"","",2022-04-29,CHI_COM,"",0.029,"",8.5298,""
"","",2022-04-29,CHI_TAFT,"",0.0264,"","",""
"","",2022-04-29,Charlestown State Pa,"",0.0428,"","",""
"","",2022-04-29,SOMERST,"",0.045,"",8.1808,""
"","",2022-04-29,Marshall,"",0.0259,"",11.7302,""
"","",2022-04-29,HERNANDO,"",0.0464,"",14.268,""
"","",2022-04-29,Hattiesburg,"","","",17.232,""
"",0.2859,2022-04-29,GARINGER,0.0092,0.0397,28.5981,15.3137,7.0E-4
"","",2022-04-29,Grants Pass - Parksi,"","","",3.4256,""
"","",2022-04-29,Farrell,"",0.0356,"",6.0756,""
"","",2022-04-29,Greenville-ESC,0.0096,"",33.5833,19.9567,1.0E-4
"","",2022-04-29,Enoch,0.0044,0.0499,"",13.6546,""
"",0.2541,2022-04-29,AURORA HILLS,0.0086,0.0368,"","",""
"","",2022-04-29,Moxa Arch,4.0E-4,0.0448,11.2,"",1.0E-4
"","",2022-04-29,HATTIEAVEN,0.0051,0.054,17.2,7.4648,0.001
"",0.1308,2022-04-29,Palm Springs - Fire,0.0023,0.0559,32.713,"",""
"",0.2828,2022-04-29,Denver - CAMP - 2105,0.0108,0.0466,34.7766,10.3543,0.0
"","",2022-04-29,Madawaska PSB,"","",5.3457,4.0494,""
"","",2022-04-29,Shapleigh Ball Park,"",0.0414,"","",""
"","",2022-04-29,Brockton,"",0.0421,"",6.0167,""
