bc,co,date,location,no2,o3,pm10,pm25,so2
"","",2022-04-01,Green Valley,"",0.035,14.2083,2.8854,""
"","",2022-04-01,South Long Beach,"","","",14.151,""
"","",2022-04-01,San Antonio,"",0.0287,"","",""
"","",2022-04-01,Fl. Baptist Children,"",0.0256,15.5938,6.749,""
"","",2022-04-01,Pearl City,"","",10.197,2.7576,""
"","",2022-04-01,South Bend-Shields D,0.0047,0.036,"",3.6514,""
"","",2022-04-01,Sidney 201,2.0E-4,0.0375,4.495,2.101,0.0
"","",2022-04-01,Portsmouth,"",0.0322,12.8416,6.2416,0.002
"","",2022-04-01,Colerain,"",0.0321,"",2.6822,0.0
"","",2022-04-01,Hookstown,"",0.0338,"","",""
"","",2022-04-01,Newport-Calispel,"","","",4.8023,""
"","",2022-04-01,Branch Street,"","",14.5818,5.8691,""
"","",2022-04-02,Yuma Supersite,"",0.0368,21.2619,13.5849,""
"","",2022-04-02,Colusa - Sunrise Blv,"",0.0311,17.4737,5.9011,""
"",0.295,2022-04-02,Fontana - Arrow High,0.0192,0.0307,"","",5.0E-4
"","",2022-04-02,Fall River,"",0.0392,"",2.4079,8.0E-4
"",0.0,2022-04-02,ALLEN PARK,"",0.024,10.969,6.4977,5.0E-4
"","",2022-04-02,Butte Greely School,"","",25.451,4.1178,""
"",0.1757,2022-04-02,Tulsa,0.0049,0.0358,12.9154,7.4808,0.0
"","",2022-04-02,Shenandoah NP,"",0.0405,"",3.307,""
"","",2022-04-02,Youngstown State,"",0.0386,"",5.4972,0.0
"",0.1031,2022-04-02,Copper View,0.0126,0.0287,"",4.9474,0.001
"","",2022-04-02,Flora,"",0.0319,"","",""
"","",2022-04-03,BCSP,"",0.0375,"","",""
"","",2022-04-03,Ellyson Industrial P,"",0.0269,"",11.5427,0.001
"","",2022-04-03,Ogden Dunes,"",0.0237,"","",""
"","",2022-04-03,PECK,"",0.0384,41.7344,23.4703,8.0E-4
"",0.2431,2022-04-03,GRAND RAPIDS,"",0.0283,14.5441,12.3103,0.0
"",0.3905,2022-04-03,TRINITY,0.0101,"","",12.7063,0.0011
"","",2022-04-03,Mountains Edge,"",0.0412,17.5943,4.667,""
"","",2022-04-03,HATTIEAVEN,0.0048,0.038,8.6721,6.0115,0.001
"","",2022-04-03,Tulsa 0175,"","","","",4.0E-4
"","",2022-04-03,Potosi,"","","",5.9539,""
0.2312,"",2022-04-03,HARRINGTON BCH,"",0.0291,"",9.4627,""
"","",2022-04-03,East Chicago - Marin,"","","",13.7382,0.0011
"","",2022-04-03,Death Valley NP,"",0.0495,"","",""
"","",2022-04-03,Madison,"",0.0349,"","",""
"",0.2921,2022-04-04,Calexico - Ethel Str,0.0108,0.0343,46.3542,11.8333,0.001
"","",2022-04-04,Mesa Verde NP,"",0.0434,"","",""
"","",2022-04-04,APOLLO BEACH,"","","",13.2798,4.0E-4
"","",2022-04-04,Pocatello Garrett an,"",0.0339,23.5391,5.7652,""
"","",2022-04-04,DURHAM,"",0.0424,"","",""
"",0.2686,2022-04-04,Boston-Von Hillern,0.0107,"","",5.2857,""
"","",2022-04-04,Marshall,"",0.0341,"",4.0357,""
"",0.1861,2022-04-04,Newark Firehouse,0.006,0.0367,"",3.4033,0.0
"","",2022-04-04,Santa Fe Airport,"",0.0483,"",1.8409,""
"","",2022-04-04,MENDNHAL,"",0.0358,7.597,5.694,""
"","",2022-04-04,Lake Montebello,0.0033,0.0419,"",1.4964,""
"","",2022-04-04,Tahoe City,"",0.0435,"",2.6941,""
"","",2022-04-05,Huntsville Old Airpo,"",0.037,"",14.3521,""
"","",2022-04-05,Green Valley,"",0.0347,14.6283,4.1504,""
"",0.3113,2022-04-05,Oakland,0.0079,0.0258,"",4.989,""
"","",2022-04-05,Sloughhouse,"",0.0282,"",2.4507,""
"","",2022-04-05,Redding,"",0.0439,"",1.662,""
"",0.1534,2022-04-05,La Casa NCORE - 4545,0.0031,0.0418,27.4182,4.2745,0.0
"",0.2088,2022-04-05,New Haven,0.018,0.023,12.472,5.9664,3.0E-4
"","",2022-04-05,Sheffield Elementary,"",0.0387,"",8.4952,""
"","",2022-04-05,Kenner,"",0.0303,"","",""
"","",2022-04-05,Calvert,"",0.04,"","",""
"","",2022-04-05,Fairhaven2,"",0.0302,"","",""
"",0.229,2022-04-05,Boston - Roxbury,0.0144,0.0295,"",4.5488,3.0E-4
"","",2022-04-05,Jersey City FH,"","","",8.5034,""
"","",2022-04-05,Flemington,"",0.0253,"",6.7294,""
"","",2022-04-05,Seattle-South Park,"","","",6.0412,""
"",0.2098,2022-04-05,Horicon Wildlife Are,"",0.0347,9.5948,7.7466,0.0
"","",2022-04-05,Willows-Colusa,"",0.0391,7.7037,1.7677,""
"","",2022-04-06,Green Valley,"",0.0357,20.7917,4.625,""
"",0.2293,2022-04-06,Calexico - Ethel Str,0.0089,0.0261,54.7475,10.0859,4.0E-4
"","",2022-04-06,Arvin - Di Giorgio S,"",0.0323,"","",""
"",0.3618,2022-04-06,Upland,0.019,0.0357,42.5417,12.8208,""
"",0.3223,2022-04-06,San Jose - Jackson S,0.0101,0.0288,"",11.1304,""
"","",2022-04-06,Westport,0.0058,0.0394,"","",""
"","",2022-04-06,Tallahassee Communit,"",0.021,"",7.6361,""
"","",2022-04-06,WORTH2002,"",0.0306,"","",""
"","",2022-04-06,Pride,"",0.019,"","",""
"",0.0577,2022-04-06,Blaine,0.0048,0.0267,2.0833,1.625,0.001
"",0.2667,2022-04-06,Lakeville - Near Roa,0.0026,"","",1.9167,""
"","",2022-04-06,Columbia,0.015,0.0266,"",5.5647,0.0
"","",2022-04-06,Arendtsville,"",0.0363,"",9.6708,""
"","",2022-04-06,Vernal #4,0.0015,0.0483,"",3.1076,""
"","",2022-04-06,Oak Harbor-SW 6th (U,"","","",2.0174,""
"","",2022-04-06,Wellpinit-Spokane Tr,"","","",0.7345,""
"","",2022-04-06,Hookstown,"",0.0394,"","",""
"",0.2848,2022-04-06,Worcester,0.0159,0.0361,"",10.9067,0.0
"",0.0829,2022-04-07,Mesa - Brooks Reserv,"",0.0447,12.4144,4.1279,""
"","",2022-04-07,Durango Complex,"","",43.5586,7.3901,1.0E-4
"","",2022-04-07,Saguaro Monument,"",0.0469,"","",""
"",0.4712,2022-04-07,Los Angeles - N. Mai,0.0286,0.0352,40.7411,18.6982,0.0
"",0.4122,2022-04-07,Reseda,0.0163,0.0305,"",8.6152,""
"","",2022-04-07,Cocoa Beach,"",0.026,"","",""
"","",2022-04-07,Weiser PM25,"","","",23.9793,""
"","",2022-04-07,ZION,"",0.0313,"","",""
"","",2022-04-07,Sidney 201,8.0E-4,0.0358,5.1622,4.4072,0.0
"","",2022-04-07,Whiteface Mtn,"",0.0457,"",2.9568,""
"",0.1757,2022-04-07,GT Craig NCore,0.0117,0.0313,20.7232,"",1.0E-4
"","",2022-04-07,Marcus Hook,"","","",4.9533,""
"","",2022-04-07,P2,0.0031,0.0502,11.2396,4.1531,""
"",0.2089,2022-04-08,Near Road,0.0092,"",12.641,8.5752,""
"","",2022-04-08,Sheffield Elementary,"",0.039,"",7.0648,""
"","",2022-04-08,Garden Valley,"","","",5.5221,""
"","",2022-04-08,HOUSTON,"",0.0317,"",3.0944,""
"","",2022-04-08,WATSON,"",0.0319,15.1,5.4457,4.0E-4
"","",2022-04-08,New Albany,"",0.031,"",5.5761,0.0
"","",2022-04-08,Colerain,"",0.0193,"",4.2142,0.0
"","",2022-04-08,MILWAUKEE 16TH ST,"",0.0228,"",3.8487,""
